1000 20000
0 999
896 333 62
10 171 55
203 878 26
660 433 81
608 490 93
725 153 18
182 419 50
747 670 72
29 466 67
346 104 18
201 426 2
352 367 73
161 534 76
954 107 65
259 338 58
814 932 64
107 972 70
353 966 33
24 353 21
957 655 42
350 265 19
669 595 75
305 735 74
850 71 81
876 332 3
143 496 100
915 101 78
170 741 79
566 108 86
959 273 69
858 120 53
886 377 65
628 193 29
214 127 82
756 157 25
887 679 42
706 944 82
325 854 88
999 620 80
286 310 71
964 551 98
170 602 77
406 149 30
915 764 94
881 23 84
87 604 49
918 124 10
819 188 43
768 656 89
636 385 93
348 211 13
165 405 44
702 176 18
198 519 47
883 806 5
384 78 57
991 904 9
442 166 94
386 464 52
99 404 67
497 0 10
371 991 42
721 676 6
381 166 95
972 53 86
582 428 71
316 346 60
115 947 46
155 473 21
699 896 64
10 923 47
318 550 22
865 88 63
377 927 1
280 935 93
759 611 31
270 614 81
215 504 89
30 712 74
503 736 66
301 232 40
178 834 28
299 959 13
426 108 73
349 161 54
633 264 56
777 678 49
413 539 98
715 411 62
814 73 58
18 800 84
367 784 3
251 848 73
185 858 48
408 231 47
74 228 96
40 622 35
547 177 32
231 781 74
589 831 97
97 603 98
119 875 59
324 608 6
985 482 10
939 768 10
42 643 55
132 456 2
260 921 41
717 864 64
466 264 84
657 396 73
257 492 19
9 209 89
777 952 35
840 344 61
692 277 46
314 323 12
386 888 35
614 472 26
815 900 28
153 997 52
357 886 48
897 898 13
345 352 27
666 377 52
908 769 51
136 181 20
319 886 70
555 720 51
664 204 42
657 613 7
485 539 80
561 490 80
935 254 77
163 995 75
10 795 84
959 968 49
583 807 71
613 188 68
570 168 54
651 535 27
301 325 42
314 20 35
72 207 52
692 296 94
868 895 57
40 0 9
645 769 94
562 687 14
63 939 15
149 649 10
248 120 49
496 5 11
203 686 70
512 455 57
409 596 24
764 510 59
899 988 23
44 452 4
759 110 35
10 748 51
300 604 46
442 343 81
877 688 71
292 922 92
798 204 1
726 730 43
752 822 89
372 873 100
929 943 7
535 835 53
887 867 25
575 250 74
981 126 16
513 400 41
750 596 59
18 965 53
112 34 51
400 56 22
264 95 56
171 267 59
30 394 90
252 616 78
676 60 91
462 708 47
871 854 86
197 556 50
582 785 28
602 931 78
837 178 52
144 383 67
715 273 48
723 313 70
715 502 41
891 849 52
943 88 40
127 949 37
9 39 84
198 234 26
675 832 11
921 196 100
342 697 59
258 252 45
77 896 86
932 275 75
288 120 36
338 242 21
982 421 11
265 372 73
170 905 50
54 567 24
657 568 97
109 616 18
901 26 59
901 219 47
439 119 80
404 622 35
788 249 91
824 933 52
380 665 95
927 367 6
118 383 68
713 67 59
103 747 96
461 929 6
461 817 86
122 5 87
450 452 52
807 93 93
559 607 27
661 393 93
79 722 34
308 14 50
62 584 52
315 18 99
623 535 69
778 272 35
738 328 14
789 764 47
251 852 94
555 536 12
632 145 31
811 893 11
115 243 92
294 289 70
409 841 43
230 407 3
80 956 66
54 553 22
23 222 13
301 717 45
444 97 10
847 856 37
765 192 46
379 911 69
330 715 84
523 877 59
868 336 5
946 974 41
203 78 4
182 788 42
792 879 43
648 103 70
549 412 7
656 564 85
541 322 3
908 273 95
579 698 46
451 842 6
310 837 61
139 515 34
988 746 7
877 576 100
683 519 83
918 854 51
231 338 92
855 78 71
88 729 50
495 216 21
844 785 77
437 427 39
400 79 81
21 13 83
206 72 73
683 950 43
59 755 85
326 473 79
870 700 24
39 114 69
39 69 8
336 910 94
333 592 69
811 115 94
641 180 23
718 617 44
276 152 83
493 875 81
257 250 77
164 937 31
159 726 2
367 952 60
643 881 41
342 104 56
682 302 56
986 917 66
450 82 54
762 478 24
936 693 71
681 264 68
390 414 92
590 945 2
895 770 10
783 67 85
250 252 69
464 862 71
713 982 94
668 807 12
55 596 18
797 295 89
620 446 57
214 151 70
472 304 47
774 63 6
341 718 62
431 568 28
321 697 81
742 401 78
189 473 90
57 366 7
873 315 73
830 235 53
382 431 46
223 522 65
203 975 67
355 242 83
295 801 67
300 70 76
536 166 52
714 122 2
614 374 63
101 346 53
442 839 72
135 134 94
152 896 59
76 483 44
165 904 97
366 5 87
796 134 8
81 528 42
835 719 12
160 799 39
278 51 94
411 257 80
973 888 13
179 73 83
429 945 50
970 98 8
756 784 78
324 859 72
464 349 8
19 388 66
941 380 60
801 187 85
530 522 43
693 448 5
136 323 39
651 750 37
280 829 58
235 26 97
88 163 65
663 830 71
426 515 48
600 666 45
45 847 61
150 694 49
743 563 38
967 814 55
536 287 90
512 501 26
753 931 52
916 68 30
262 222 3
284 2 33
831 208 10
210 842 5
313 114 56
981 469 2
608 443 60
832 442 68
116 646 41
928 537 98
474 45 79
656 509 66
4 411 3
21 332 52
601 429 62
657 580 45
421 924 38
522 531 58
519 363 93
57 457 68
235 342 58
37 868 87
215 824 83
416 158 14
598 86 84
525 289 38
749 118 26
492 148 45
666 212 34
463 343 6
908 849 7
309 868 20
627 564 82
64 606 30
188 737 56
517 41 26
559 539 84
477 45 48
823 359 21
541 252 63
70 890 43
250 276 83
748 352 89
622 167 61
859 681 66
122 813 6
233 670 94
976 551 13
761 303 36
302 467 58
486 288 60
655 284 57
84 707 9
902 794 19
253 252 23
735 964 95
893 939 52
463 343 78
104 546 29
101 517 2
533 90 2
160 898 40
964 545 15
19 778 99
683 124 27
344 767 67
238 694 26
426 730 46
52 663 95
261 468 62
243 429 22
56 371 76
209 718 43
664 386 12
880 44 27
296 439 84
371 316 61
169 750 7
552 555 18
132 485 98
127 633 67
414 884 2
363 365 27
991 829 15
19 175 17
471 947 18
456 666 20
871 65 31
761 546 8
265 553 30
351 899 39
152 313 19
46 484 99
521 493 14
484 16 65
399 640 44
237 845 79
591 583 80
378 882 27
98 732 62
437 659 28
860 220 46
663 43 1
571 121 13
603 851 72
324 829 59
395 829 1
684 790 12
831 44 53
589 469 60
444 79 47
561 115 28
168 188 63
393 176 79
983 874 98
708 445 14
986 911 27
373 396 56
723 527 13
862 600 82
411 161 16
544 892 90
208 456 21
205 549 20
350 229 56
944 74 63
854 824 37
522 569 58
457 992 59
558 861 51
478 292 80
875 475 76
63 914 10
80 927 78
553 459 78
945 466 78
486 970 89
280 392 68
400 312 19
973 977 66
965 639 63
619 65 62
646 908 70
105 207 96
933 540 60
742 47 83
36 133 41
644 782 95
282 648 98
429 342 37
14 276 39
656 779 59
352 814 74
739 741 6
449 773 96
439 388 62
353 859 46
827 37 33
147 282 36
791 166 47
308 160 42
571 7 15
918 952 23
136 620 25
821 348 72
466 615 7
786 697 52
156 506 2
446 944 94
530 150 56
474 596 95
466 384 16
19 901 10
355 632 80
696 773 23
429 949 72
137 97 75
248 731 14
681 170 84
297 325 43
501 518 10
658 859 2
42 475 35
792 488 76
719 305 21
375 774 30
465 879 26
929 112 72
546 263 11
101 619 68
890 643 50
860 975 18
556 780 58
228 292 27
422 762 82
625 773 33
699 134 5
373 245 62
667 788 74
838 956 91
869 698 23
92 508 28
206 29 78
824 673 61
953 924 68
501 522 13
741 401 99
407 963 77
502 782 16
720 659 11
926 73 26
638 468 30
972 230 44
390 830 30
535 60 60
121 16 45
257 588 71
300 654 17
166 101 95
404 842 81
141 668 91
898 270 29
413 407 67
298 51 30
459 105 74
424 851 2
974 72 3
618 52 36
450 982 85
366 314 2
653 39 99
314 707 68
518 719 88
66 647 86
484 709 13
347 591 99
962 565 57
97 373 100
543 67 69
224 863 70
483 704 57
264 34 48
892 636 39
610 956 30
90 509 57
457 657 15
502 887 28
758 674 24
546 214 91
943 636 99
970 756 32
948 983 26
253 146 62
600 781 47
442 69 53
207 633 95
272 482 2
104 575 22
564 726 32
753 591 35
438 246 48
977 351 45
448 785 70
687 277 80
705 813 29
423 677 82
437 829 51
230 189 51
889 997 55
101 382 14
828 584 29
577 137 45
435 696 62
565 573 83
477 525 16
462 64 69
977 528 17
368 211 40
935 885 54
605 988 23
97 118 59
606 578 75
221 740 74
706 187 37
130 397 87
264 453 49
242 978 27
15 308 93
464 262 49
375 783 14
645 25 77
77 734 18
118 685 24
128 737 79
33 920 63
697 454 30
319 702 31
273 871 33
800 168 65
456 519 44
423 693 23
65 370 40
364 703 31
752 270 2
760 948 12
390 52 89
94 955 35
280 257 61
653 18 3
484 611 21
937 608 74
617 915 99
329 748 91
471 197 28
168 661 12
483 524 64
247 949 73
341 730 45
41 241 10
436 396 30
353 472 67
523 368 97
79 978 3
538 921 13
896 913 47
267 33 3
413 661 7
67 352 25
347 263 81
209 234 79
973 831 71
974 257 49
116 100 37
127 937 94
216 199 18
133 87 9
454 660 78
766 689 95
995 198 97
507 138 77
194 659 59
480 471 91
894 516 67
198 916 68
847 918 6
243 90 76
801 63 74
992 191 13
108 23 96
496 554 60
797 921 98
889 505 18
197 789 45
306 932 86
793 363 3
473 772 83
387 677 15
636 422 55
549 983 77
241 282 12
673 987 22
776 620 32
117 875 12
737 535 25
472 173 86
394 336 60
637 502 97
422 718 76
927 131 24
426 920 96
86 239 46
682 292 48
306 112 81
246 249 35
958 926 35
943 728 90
873 875 45
61 25 6
122 997 85
485 961 39
48 188 46
619 333 100
96 289 22
840 947 38
858 672 17
171 776 51
673 345 52
323 324 2
99 440 4
908 676 18
150 655 83
503 626 13
523 776 95
829 763 55
64 928 61
577 212 98
444 985 8
457 125 48
99 736 50
193 904 4
432 888 20
896 338 86
575 302 100
55 237 12
260 854 99
158 41 54
672 917 46
706 927 32
355 604 60
746 283 37
996 240 60
436 764 34
612 77 2
28 790 29
354 499 14
401 679 12
377 10 8
833 912 8
596 456 24
194 255 10
729 341 53
365 563 11
555 102 25
827 91 60
992 967 49
49 59 47
386 233 84
897 524 100
426 677 71
977 214 10
170 495 62
625 121 1
359 868 47
946 742 59
325 671 50
531 428 61
794 367 85
349 273 23
567 620 42
471 737 13
316 115 4
639 317 40
387 166 26
843 41 73
224 984 63
191 12 85
987 613 1
551 254 34
742 84 39
464 815 75
504 949 90
541 746 37
378 816 3
538 574 37
286 725 20
618 121 32
758 779 83
483 723 19
195 156 41
988 879 16
104 514 49
408 24 51
976 614 30
71 143 100
949 80 94
254 957 50
654 403 13
327 368 16
102 623 43
729 569 39
531 533 83
517 978 67
590 296 72
445 293 58
61 997 20
511 377 61
562 210 77
697 991 18
76 275 53
467 806 76
651 907 2
157 501 28
8 320 25
212 97 96
403 121 96
283 933 14
8 99 30
569 564 18
176 925 84
701 723 36
238 860 75
985 995 26
257 816 75
138 530 10
690 463 4
749 517 53
189 338 45
790 362 57
419 937 7
263 237 6
449 468 43
767 672 36
509 245 35
87 344 86
145 233 10
663 453 24
91 550 4
413 337 83
433 866 98
444 153 54
439 543 30
379 729 80
983 509 75
259 194 97
796 814 86
324 382 4
403 591 48
482 486 11
264 766 58
274 163 61
914 896 9
703 21 21
442 425 9
916 301 18
624 698 34
784 814 9
350 830 84
795 977 60
789 0 96
911 106 39
858 865 76
587 467 96
881 566 57
977 453 59
742 607 99
887 526 93
195 669 82
148 40 21
722 248 73
721 434 100
432 279 23
790 753 92
375 874 99
421 110 51
766 200 41
790 857 68
978 693 10
393 741 81
715 324 34
613 813 45
69 338 18
815 797 25
828 289 52
618 386 31
39 161 68
287 141 8
639 151 51
838 698 48
284 239 22
514 652 89
957 972 91
591 116 33
854 463 39
150 86 83
495 738 62
217 263 38
206 688 51
373 14 4
531 199 84
95 955 59
562 433 63
892 713 7
414 120 15
501 699 11
53 907 56
80 910 55
398 473 25
178 15 26
825 373 69
238 546 94
617 914 70
8 360 42
803 236 66
742 509 83
792 32 93
470 7 4
363 777 5
53 710 26
738 414 68
678 810 44
482 43 29
583 965 29
830 154 2
128 54 44
961 277 64
800 211 100
160 38 99
337 795 43
874 242 37
882 758 7
883 9 9
233 974 47
136 556 68
13 833 52
846 804 35
431 801 1
668 537 98
276 383 90
267 12 38
708 844 77
518 228 97
626 248 54
839 602 56
574 79 94
968 329 88
118 812 12
213 249 46
848 914 83
3 629 57
524 339 73
920 671 58
632 116 86
214 180 38
968 973 61
120 211 38
288 283 60
816 8 96
157 928 30
34 610 28
197 488 79
942 677 27
442 954 96
152 923 28
87 141 3
731 512 33
73 757 20
904 264 53
623 794 86
248 440 20
76 813 8
973 384 23
160 383 79
317 546 33
828 332 94
863 957 55
220 361 9
408 525 52
159 295 86
942 553 77
375 133 17
452 674 18
615 37 81
200 842 19
956 992 95
129 3 65
993 569 77
707 813 94
159 97 26
644 869 90
241 335 4
131 49 33
832 732 8
32 490 30
219 614 98
562 262 73
299 598 1
740 367 83
33 447 47
33 233 90
877 848 40
610 50 77
891 210 96
913 664 73
199 861 17
941 934 27
14 589 17
582 420 61
659 642 75
120 570 81
9 256 69
189 58 95
984 312 57
281 704 85
600 685 70
309 607 35
918 831 54
912 836 87
674 278 25
64 934 52
62 711 24
795 439 59
660 758 75
461 44 63
321 944 49
240 582 20
368 992 83
294 971 6
930 260 32
472 301 93
713 999 32
674 916 26
59 888 89
681 461 14
858 125 20
888 68 12
907 988 72
940 637 98
98 611 36
690 220 56
525 494 55
71 622 91
658 712 59
394 797 17
917 160 96
977 299 21
746 868 71
634 468 71
849 841 97
118 701 44
498 960 30
594 18 41
69 67 5
108 247 24
670 946 45
790 4 5
106 911 76
4 825 63
35 624 87
631 936 38
261 20 97
549 935 28
692 702 65
667 552 24
100 33 86
318 16 43
761 404 37
488 416 52
544 205 60
944 486 81
39 922 94
962 81 14
267 898 80
395 10 33
913 469 55
863 788 68
965 226 77
579 454 42
773 157 31
941 639 67
747 11 38
472 346 12
241 6 67
451 282 23
548 58 52
568 446 18
833 587 91
384 600 81
850 245 100
80 202 53
16 883 81
534 931 40
568 58 10
173 94 72
221 822 88
344 184 69
163 828 71
186 713 48
663 304 40
940 982 17
87 848 34
360 751 30
707 204 80
327 87 88
457 82 62
149 814 83
350 725 90
980 360 70
14 686 22
24 902 25
866 632 50
365 262 61
293 420 97
966 146 31
194 552 57
766 127 37
896 349 65
184 658 71
55 529 63
668 604 54
975 534 45
599 34 61
815 714 72
789 701 79
896 42 67
856 769 44
579 607 25
291 921 8
176 925 49
442 435 86
810 120 98
539 352 72
983 160 39
155 73 39
339 499 31
374 171 34
559 294 45
713 553 55
967 597 86
562 877 97
720 656 70
773 781 43
670 345 34
159 777 22
907 40 26
161 892 9
288 605 37
34 727 57
80 836 41
110 277 8
896 934 73
597 797 10
260 171 16
763 943 51
359 186 99
915 630 12
592 835 61
215 804 57
956 534 9
712 487 10
533 282 88
718 478 91
72 968 26
669 69 100
335 34 71
189 197 63
208 601 59
454 345 88
892 390 90
488 398 51
28 431 74
879 681 81
40 992 27
266 222 42
580 190 45
475 328 17
267 199 46
173 652 45
93 175 53
280 565 91
387 777 59
373 588 2
111 882 25
14 717 49
384 255 9
945 415 34
696 623 53
893 113 92
703 11 11
884 205 16
379 326 40
473 104 12
748 64 10
291 165 8
60 660 42
793 26 53
886 49 26
414 186 93
405 1 91
466 461 47
222 105 35
34 387 51
281 483 9
638 517 35
511 422 13
437 817 67
540 317 80
175 356 48
407 364 17
596 157 52
202 887 17
312 935 4
844 989 83
475 220 50
243 298 20
59 2 25
382 862 54
29 644 100
890 463 83
492 170 76
778 555 93
383 238 90
540 40 42
256 558 87
144 558 5
437 918 26
410 958 38
651 672 86
897 627 51
409 161 85
845 904 65
630 744 18
711 634 36
75 834 85
290 222 29
471 620 72
495 992 33
198 444 48
933 693 32
735 106 60
606 424 43
189 989 98
982 699 22
539 157 100
495 705 30
883 836 35
595 492 54
441 277 71
591 125 50
279 343 38
621 469 88
755 361 31
557 981 21
538 775 9
710 246 61
679 151 9
333 758 15
224 295 68
858 672 48
81 542 1
300 41 6
845 317 61
455 417 86
425 376 16
940 578 87
987 919 83
497 680 24
371 397 72
653 490 72
854 907 34
641 779 30
698 605 95
737 383 82
5 276 92
657 744 97
59 156 84
268 628 46
651 240 20
58 820 20
274 115 69
720 369 58
654 123 11
584 744 31
458 494 90
167 33 13
576 997 47
40 598 87
696 382 44
148 702 32
539 610 72
463 837 68
202 841 10
806 158 80
976 774 85
985 4 90
891 685 17
114 267 25
416 14 45
949 710 64
824 815 61
673 640 72
335 14 8
18 337 65
657 154 25
429 372 13
180 682 78
636 332 50
318 484 95
196 232 82
717 724 36
607 804 49
692 714 57
516 129 38
16 116 90
418 620 54
192 971 20
974 931 31
651 504 29
86 458 41
637 809 57
936 0 13
388 451 35
400 33 37
456 867 33
892 886 56
48 857 62
234 637 75
205 269 97
848 337 93
550 704 54
966 858 83
564 311 68
611 652 59
163 493 1
774 672 57
597 339 55
304 355 28
725 626 44
762 417 19
192 756 45
256 64 93
294 318 26
97 424 34
512 846 100
487 379 28
342 192 43
607 66 75
816 37 47
814 969 92
732 462 70
971 954 18
913 451 24
42 811 100
532 799 87
72 191 53
161 816 6
835 720 18
620 886 96
36 99 15
226 859 90
93 986 8
584 827 8
616 957 64
427 887 62
915 485 16
297 15 13
682 864 19
580 984 28
871 730 83
134 46 3
139 961 89
487 404 95
340 196 40
245 650 17
960 379 5
153 821 49
13 90 46
659 566 81
152 815 3
285 373 95
611 742 93
815 246 46
272 819 99
441 551 77
272 783 97
175 728 50
232 895 84
742 227 47
208 601 97
52 593 87
158 149 93
496 20 53
475 7 92
554 25 81
506 760 68
713 407 58
133 421 25
997 830 97
287 753 19
381 238 29
676 720 31
715 284 42
749 163 74
665 686 79
137 686 75
144 596 51
261 442 73
167 492 28
967 729 12
776 638 45
711 771 56
370 936 22
583 596 64
743 753 74
328 233 8
677 813 40
192 517 36
61 323 100
840 669 91
922 608 91
508 576 36
860 640 99
840 631 4
90 201 80
561 542 50
21 81 86
42 34 84
676 1 10
296 873 18
611 438 19
337 801 13
909 571 65
149 512 78
991 187 46
580 114 82
149 310 40
792 781 4
971 721 48
900 678 32
755 285 22
565 478 89
804 224 26
309 35 56
776 618 78
609 41 19
353 956 11
170 46 19
533 862 22
495 949 71
990 705 50
196 220 38
10 150 16
976 926 25
701 729 11
367 963 42
636 436 29
201 937 71
523 791 66
721 296 63
899 783 64
954 757 25
944 593 46
480 707 50
124 96 94
479 194 70
272 473 5
597 399 22
577 207 50
385 353 37
408 940 92
663 808 40
112 362 60
848 195 2
410 961 57
876 789 5
358 916 75
260 635 66
860 11 2
783 347 42
587 94 38
503 764 83
56 419 9
239 137 43
62 522 67
622 712 70
651 794 42
255 92 99
498 868 5
981 419 35
786 552 56
476 643 27
442 120 2
818 318 100
755 237 87
459 21 51
888 372 10
549 995 65
998 139 52
658 146 91
849 761 11
562 710 56
520 17 60
165 671 63
711 645 61
576 631 28
882 337 83
790 429 51
543 208 91
399 708 89
604 189 52
446 505 74
553 948 83
385 82 63
596 629 27
204 812 35
521 486 22
125 520 19
211 410 19
193 135 66
607 401 3
778 7 27
443 677 8
841 37 5
593 548 23
979 413 90
179 507 62
575 41 90
679 506 45
234 740 65
86 541 99
564 350 25
566 708 71
222 94 1
921 306 14
245 982 9
261 922 64
74 680 72
312 706 10
88 593 69
181 217 44
426 392 25
963 971 44
736 366 52
520 394 25
593 15 45
180 842 60
113 839 96
169 124 16
282 97 14
918 770 25
971 846 38
79 771 75
803 172 89
374 708 7
88 904 89
718 991 93
818 133 4
217 71 13
236 490 81
859 869 84
573 594 3
695 118 47
935 425 16
993 936 3
210 219 37
723 748 14
695 294 50
944 514 86
15 387 3
5 194 89
196 294 56
717 909 25
865 393 99
283 986 20
928 303 50
44 167 73
286 560 35
943 794 60
937 815 70
786 632 31
625 134 47
277 921 34
793 767 64
22 960 62
264 529 27
174 968 87
806 75 93
670 832 84
70 864 19
415 97 77
106 527 53
800 296 94
563 990 25
158 54 3
369 655 100
926 528 95
31 303 76
864 981 20
205 981 97
620 211 53
370 117 37
909 32 15
303 894 37
472 413 3
343 739 13
405 378 68
478 742 70
849 745 20
496 643 61
868 300 1
236 561 97
165 70 42
516 788 95
424 582 11
434 925 16
864 600 28
373 922 64
654 957 8
553 986 36
259 346 4
533 463 9
541 101 65
125 58 86
390 154 62
852 236 72
389 214 70
959 63 13
616 24 1
140 228 1
743 173 58
413 115 81
628 960 19
57 374 80
429 747 95
295 840 79
141 524 17
266 610 8
351 557 14
297 98 51
58 999 12
163 525 57
416 482 74
20 202 65
689 338 42
832 330 99
119 356 73
59 845 56
577 173 60
230 58 6
423 909 95
738 311 50
588 68 90
499 174 42
570 546 94
946 148 93
305 611 44
41 771 75
813 629 13
969 151 66
152 699 7
304 156 72
851 551 38
851 214 64
637 632 50
287 954 29
526 220 75
445 128 67
738 917 52
264 445 97
541 132 83
200 595 52
367 357 39
668 515 20
329 619 38
561 246 62
0 686 60
423 811 73
764 925 42
106 364 40
996 383 30
32 768 14
2 113 48
122 920 72
22 858 43
858 557 12
912 960 61
780 616 71
777 500 35
628 45 83
984 592 33
196 682 11
12 642 78
191 668 29
266 491 83
211 226 50
948 683 14
864 615 22
383 296 13
971 332 94
983 494 12
100 99 51
22 73 25
484 748 4
752 169 16
10 642 30
596 651 78
995 487 14
270 206 34
133 246 97
176 897 97
842 412 92
578 774 7
251 332 40
574 394 46
18 407 34
350 933 76
867 584 57
78 727 73
41 386 7
839 768 78
335 42 46
575 841 59
106 522 80
436 52 58
514 900 54
267 571 13
233 361 99
446 796 32
562 96 60
401 680 37
94 758 21
789 911 35
87 801 23
824 153 43
297 277 28
309 567 20
361 680 19
189 391 33
744 604 8
758 878 39
936 87 94
545 485 28
579 295 66
485 637 13
447 449 7
133 544 12
595 937 86
14 182 65
670 186 53
517 198 85
753 835 62
814 591 83
606 169 84
702 986 98
561 122 14
522 856 99
322 253 18
268 725 42
471 989 73
932 998 34
571 277 81
353 637 52
672 389 62
836 689 13
878 235 71
223 337 27
353 24 1
685 649 94
710 462 15
630 450 14
388 911 6
690 486 63
9 993 98
943 428 35
386 989 60
549 187 18
381 908 78
719 877 61
506 284 90
387 514 41
807 14 31
642 656 38
263 499 48
169 465 69
812 801 50
594 730 48
419 108 95
497 112 31
446 985 55
78 994 98
744 950 20
734 504 35
418 881 98
738 708 43
388 970 31
719 325 12
452 482 92
996 713 40
337 15 40
216 42 19
651 345 91
925 852 25
186 136 93
139 59 77
413 959 21
315 765 25
811 528 9
555 409 8
73 791 80
76 470 58
523 191 94
114 512 35
411 837 98
46 450 87
952 121 82
353 938 22
982 144 71
553 417 7
112 897 24
189 102 80
914 290 43
500 186 39
867 244 71
931 107 82
437 571 83
237 167 23
782 402 88
622 491 52
355 87 65
210 521 13
225 450 51
652 268 50
150 641 67
92 121 44
561 715 57
99 884 33
700 946 24
281 958 51
915 325 99
853 315 19
748 595 78
728 545 95
242 787 53
465 923 69
197 697 68
773 122 41
471 561 74
577 687 61
986 972 71
500 174 37
182 346 27
988 459 13
6 233 33
901 952 57
117 101 57
154 742 56
490 562 72
391 717 80
15 523 92
633 909 8
562 732 94
932 810 85
846 277 78
654 946 2
130 767 69
579 386 34
98 276 65
960 270 93
843 175 85
496 607 52
769 640 82
914 686 70
503 405 61
525 584 41
687 350 58
883 475 96
39 566 48
811 204 74
260 248 28
459 94 19
612 380 60
86 758 56
526 123 29
376 999 15
156 392 55
175 586 89
503 615 71
367 404 81
583 324 1
40 241 32
877 563 5
656 538 85
723 999 82
392 348 69
966 696 42
159 906 99
863 628 30
208 770 34
286 766 41
142 545 53
848 3 48
940 531 92
898 96 71
173 605 76
110 71 81
615 121 28
687 854 67
382 655 100
146 10 42
861 838 88
137 945 63
733 612 83
777 559 86
595 327 12
280 259 5
44 588 75
789 599 56
88 37 16
279 319 15
480 592 81
624 966 99
113 330 28
468 341 2
870 411 12
161 703 41
437 589 19
588 534 63
335 59 55
403 28 97
281 892 42
955 588 78
878 326 70
634 514 61
457 889 11
647 463 19
487 347 72
244 364 69
528 538 84
317 467 26
378 427 94
408 300 31
998 772 10
807 847 38
314 294 6
643 358 82
151 350 74
408 667 67
648 98 67
491 582 35
973 708 57
585 766 58
270 345 62
482 14 46
219 124 49
626 278 79
665 130 90
349 436 58
724 739 94
285 8 76
23 214 2
1 88 23
598 933 18
371 51 35
858 56 25
526 452 12
885 790 36
156 821 48
166 772 24
531 573 52
938 898 23
199 795 49
74 306 55
788 142 76
318 396 48
12 935 98
784 308 12
367 322 61
519 622 42
241 350 41
804 541 25
893 847 24
912 11 12
667 526 31
889 780 5
409 106 12
186 989 50
53 919 47
293 702 95
346 46 22
680 217 95
149 928 97
512 10 18
2 553 50
373 297 61
312 728 84
849 126 80
492 516 82
890 528 8
978 384 34
601 8 85
738 324 8
566 834 7
466 793 73
15 509 79
514 624 56
864 486 35
14 383 25
288 656 12
22 650 81
155 309 55
586 607 44
213 679 63
717 514 10
878 866 13
732 523 1
843 656 28
568 266 24
462 324 35
494 83 13
10 29 17
651 73 60
373 536 34
748 459 72
323 933 49
857 594 81
598 922 90
588 437 61
930 220 93
135 65 14
631 305 78
839 743 23
369 763 86
621 872 59
734 595 19
517 176 56
319 750 93
986 325 7
254 500 4
469 863 9
635 708 64
244 328 93
895 777 75
940 445 58
222 989 67
933 264 2
91 706 2
514 179 42
511 219 9
562 875 92
181 544 78
331 708 39
697 20 94
454 233 25
355 755 9
460 829 37
407 988 18
773 195 94
531 119 28
4 319 49
33 352 38
836 500 51
523 506 18
660 568 52
969 941 60
12 787 93
132 174 77
917 186 44
361 906 49
2 81 48
963 826 82
82 998 78
410 795 35
3 107 81
950 2 15
469 424 12
155 39 40
879 409 81
327 768 77
173 685 21
50 114 7
702 470 73
210 539 93
